count,CL_filter,xmt_control,zero
0.000000,-0.000027,0.150000,-nan
0.050000,-0.000027,0.150000,-nan
0.100000,0.000220,0.150000,-nan
0.150000,0.001006,0.150000,-nan
0.200000,0.002350,0.150000,-nan
0.250000,0.003729,0.150000,-nan
0.300000,0.004741,0.150000,-nan
0.350000,0.005485,0.150000,-nan
0.400000,0.006303,0.150000,-nan
0.450000,0.007186,0.150000,-nan
0.500000,0.007819,0.150000,-nan
0.550000,0.008180,0.150000,-nan
0.600000,0.008475,0.150000,-nan
0.650000,0.008622,0.150000,-nan
0.700000,0.008307,0.150000,-nan
0.750000,0.007295,0.150000,-nan
0.800000,0.005985,0.150000,-nan
0.850000,0.005070,0.150000,-nan
0.900000,0.004956,0.150000,-nan
0.950000,0.005556,0.150000,-nan
1.000000,0.006443,0.150000,-nan
1.050000,0.007215,0.150000,-nan
1.100000,0.007495,0.150000,-nan
1.150000,0.007002,0.150000,-nan
1.200000,0.005962,0.150000,-nan
1.250000,0.005079,0.150000,-nan
1.300000,0.004848,0.150000,-nan
1.350000,0.005074,0.150000,-nan
1.400000,0.005270,0.150000,-nan
1.450000,0.005174,0.150000,-nan
1.500000,0.004743,0.150000,-nan
1.550000,0.004171,0.150000,-nan
1.600000,0.003667,0.150000,-nan
1.650000,0.003652,0.150000,-nan
1.700000,0.004112,0.150000,-nan
1.750000,0.004681,0.150000,-nan
1.800000,0.005012,0.150000,-nan
1.850000,0.004909,0.150000,-nan
1.900000,0.004618,0.150000,-nan
1.950000,0.004479,0.150000,-nan
2.000000,0.004732,0.150000,-nan
2.050000,0.005270,0.150000,-nan
2.100000,0.005626,0.150000,-nan
2.150000,0.005497,0.150000,-nan
2.200000,0.004960,0.150000,-nan
2.250000,0.004375,0.150000,-nan
2.300000,0.003988,0.150000,-nan
2.350000,0.003773,0.150000,-nan
2.400000,0.003624,0.150000,-nan
2.450000,0.003370,0.150000,-nan
2.500000,0.003135,0.150000,-nan
2.550000,0.002994,0.150000,-nan
2.600000,0.003038,0.150000,-nan
2.650000,0.003151,0.150000,-nan
2.700000,0.003275,0.150000,-nan
2.750000,0.003667,0.150000,-nan
2.800000,0.004370,0.150000,-nan
2.850000,0.005063,0.150000,-nan
2.900000,0.005216,0.150000,-nan
2.950000,0.004653,0.150000,-nan
3.000000,0.003869,0.150000,-nan
3.050000,0.003465,0.150000,-nan
3.100000,0.003733,0.150000,-nan
3.150000,0.004361,0.150000,-nan
3.200000,0.004653,0.150000,-nan
3.250000,0.004396,0.150000,-nan
3.300000,0.003914,0.150000,-nan
3.350000,0.003989,0.150000,-nan
3.400000,0.004839,0.150000,-nan
3.450000,0.005900,0.150000,-nan
3.500000,0.006383,0.150000,-nan
3.550000,0.006144,0.150000,-nan
3.600000,0.005685,0.150000,-nan
3.650000,0.005545,0.150000,-nan
3.700000,0.005539,0.150000,-nan
3.750000,0.005336,0.150000,-nan
3.800000,0.005031,0.150000,-nan
3.850000,0.005208,0.150000,-nan
3.900000,0.006027,0.150000,-nan
3.950000,0.006916,0.150000,-nan
4.000000,0.007006,0.150000,-nan
4.050000,0.006428,0.150000,-nan
4.100000,0.006069,0.150000,-nan
4.150000,0.006570,0.150000,-nan
4.200000,0.007575,0.150000,-nan
4.250000,0.008176,0.150000,-nan
4.300000,0.007915,0.150000,-nan
4.350000,0.006986,0.150000,-nan
4.400000,0.005680,0.150000,-nan
4.450000,0.004311,0.150000,-nan
4.500000,0.003212,0.150000,-nan
4.550000,0.002674,0.150000,-nan
4.600000,0.002854,0.150000,-nan
4.650000,0.003415,0.150000,-nan
4.700000,0.004109,0.150000,-nan
4.750000,0.004824,0.150000,-nan
4.800000,0.005620,0.150000,-nan
4.850000,0.006413,0.150000,-nan
4.900000,0.006713,0.150000,-nan
4.950000,0.006172,0.150000,-nan
5.000000,0.005207,0.150000,-nan
5.050000,0.004625,0.150000,-nan
5.100000,0.004666,0.150000,-nan
5.150000,0.004660,0.150000,-nan
5.200000,0.004157,0.150000,-nan
5.250000,0.003565,0.150000,-nan
5.300000,0.003624,0.150000,-nan
5.350000,0.004332,0.150000,-nan
5.400000,0.004920,0.150000,-nan
5.450000,0.004809,0.150000,-nan
5.500000,0.004330,0.150000,-nan
5.550000,0.004375,0.150000,-nan
5.600000,0.005328,0.150000,-nan
5.650000,0.006638,0.150000,-nan
5.700000,0.007342,0.150000,-nan
5.750000,0.006944,0.150000,-nan
5.800000,0.005851,0.150000,-nan
5.850000,0.005081,0.150000,-nan
5.900000,0.005353,0.150000,-nan
5.950000,0.006234,0.150000,-nan
6.000000,0.006557,0.150000,-nan
6.050000,0.005658,0.150000,-nan
6.100000,0.004133,0.150000,-nan
6.150000,0.003005,0.150000,-nan
6.200000,0.002794,0.150000,-nan
6.250000,0.003219,0.150000,-nan
6.300000,0.003755,0.150000,-nan
6.350000,0.004096,0.150000,-nan
6.400000,0.004117,0.150000,-nan
6.450000,0.003833,0.150000,-nan
6.500000,0.003444,0.150000,-nan
6.550000,0.003105,0.150000,-nan
6.600000,0.002968,0.150000,-nan
6.650000,0.003236,0.150000,-nan
6.700000,0.004042,0.150000,-nan
6.750000,0.005108,0.150000,-nan
6.800000,0.005675,0.150000,-nan
6.850000,0.005376,0.150000,-nan
6.900000,0.004730,0.150000,-nan
6.950000,0.004508,0.150000,-nan
7.000000,0.004834,0.150000,-nan
7.050000,0.005251,0.150000,-nan
7.100000,0.005384,0.150000,-nan
7.150000,0.005384,0.150000,-nan
7.200000,0.005571,0.150000,-nan
7.250000,0.005914,0.150000,-nan
7.300000,0.006056,0.150000,-nan
7.350000,0.005709,0.150000,-nan
7.400000,0.004931,0.150000,-nan
7.450000,0.004239,0.150000,-nan
7.500000,0.003903,0.150000,-nan
7.550000,0.003813,0.150000,-nan
7.600000,0.003768,0.150000,-nan
7.650000,0.003715,0.150000,-nan
7.700000,0.003746,0.150000,-nan
7.750000,0.003580,0.150000,-nan
7.800000,0.003053,0.150000,-nan
7.850000,0.002550,0.150000,-nan
7.900000,0.002751,0.150000,-nan
7.950000,0.003733,0.150000,-nan
8.000000,0.004937,0.150000,-nan
8.050000,0.005755,0.150000,-nan
8.100000,0.006061,0.150000,-nan
8.150000,0.005983,0.150000,-nan
8.200000,0.005683,0.150000,-nan
8.250000,0.005178,0.150000,-nan
8.300000,0.004415,0.150000,-nan
8.350000,0.003415,0.150000,-nan
8.400000,0.002689,0.150000,-nan
8.450000,0.002818,0.150000,-nan
8.500000,0.003886,0.150000,-nan
8.550000,0.005025,0.150000,-nan
8.600000,0.005566,0.150000,-nan
8.650000,0.005584,0.150000,-nan
8.700000,0.005649,0.150000,-nan
8.750000,0.006092,0.150000,-nan
8.800000,0.006702,0.150000,-nan
8.850000,0.007155,0.150000,-nan
8.900000,0.007019,0.150000,-nan
8.950000,0.006062,0.150000,-nan
9.000000,0.004576,0.150000,-nan
9.050000,0.003154,0.150000,-nan
9.100000,0.002327,0.150000,-nan
9.150000,0.002319,0.150000,-nan
9.200000,0.003165,0.150000,-nan
9.250000,0.004593,0.150000,-nan
9.300000,0.005777,0.150000,-nan
9.350000,0.005942,0.150000,-nan
9.400000,0.005027,0.150000,-nan
9.450000,0.003874,0.150000,-nan
9.500000,0.003281,0.150000,-nan
9.550000,0.003349,0.150000,-nan
9.600000,0.003677,0.150000,-nan
9.650000,0.003951,0.150000,-nan
9.700000,0.004139,0.150000,-nan
9.750000,0.004083,0.150000,-nan
9.800000,0.003603,0.150000,-nan
9.850000,0.002831,0.150000,-nan
9.900000,0.002376,0.150000,-nan
9.950000,0.002747,0.150000,-nan
10.000000,0.003948,0.150000,-nan
10.050000,0.005475,0.150000,-nan
10.100000,0.006702,0.150000,-nan
10.150000,0.007227,0.150000,-nan
10.200000,0.007045,0.150000,-nan
10.250000,0.006542,0.150000,-nan
10.300000,0.006237,0.150000,-nan
10.350000,0.006267,0.150000,-nan
10.400000,0.006469,0.150000,-nan
10.450000,0.006581,0.150000,-nan
10.500000,0.006531,0.150000,-nan
10.550000,0.006507,0.150000,-nan
10.600000,0.006707,0.150000,-nan
10.650000,0.006963,0.150000,-nan
10.700000,0.006850,0.150000,-nan
10.750000,0.006031,0.150000,-nan
10.800000,0.004678,0.150000,-nan
10.850000,0.003446,0.150000,-nan
10.900000,0.002785,0.150000,-nan
10.950000,0.002922,0.150000,-nan
11.000000,0.003551,0.150000,-nan
11.050000,0.004250,0.150000,-nan
11.100000,0.004687,0.150000,-nan
11.150000,0.004655,0.150000,-nan
11.200000,0.004300,0.150000,-nan
11.250000,0.003975,0.150000,-nan
11.300000,0.004107,0.150000,-nan
11.350000,0.004879,0.150000,-nan
11.400000,0.005741,0.150000,-nan
11.450000,0.006246,0.150000,-nan
11.500000,0.006252,0.150000,-nan
11.550000,0.006029,0.150000,-nan
11.600000,0.005794,0.150000,-nan
11.650000,0.005470,0.150000,-nan
11.700000,0.005029,0.150000,-nan
11.750000,0.004501,0.150000,-nan
11.800000,0.003822,0.150000,-nan
11.850000,0.003051,0.150000,-nan
11.900000,0.002427,0.150000,-nan
11.950000,0.002310,0.150000,-nan
12.000000,0.002957,0.150000,-nan
12.050000,0.004117,0.150000,-nan
12.100000,0.005300,0.150000,-nan
12.150000,0.006172,0.150000,-nan
12.200000,0.006687,0.150000,-nan
12.250000,0.006674,0.150000,-nan
12.300000,0.005984,0.150000,-nan
12.350000,0.004821,0.150000,-nan
12.400000,0.004058,0.150000,-nan
12.450000,0.004316,0.150000,-nan
12.500000,0.005473,0.150000,-nan
12.550000,0.006832,0.150000,-nan
12.600000,0.007759,0.150000,-nan
12.650000,0.007906,0.150000,-nan
12.700000,0.007457,0.150000,-nan
12.750000,0.006731,0.150000,-nan
12.800000,0.006024,0.150000,-nan
12.850000,0.005213,0.150000,-nan
12.900000,0.004205,0.150000,-nan
12.950000,0.003251,0.150000,-nan
13.000000,0.002790,0.150000,-nan
13.050000,0.002997,0.150000,-nan
13.100000,0.003475,0.150000,-nan
13.150000,0.003685,0.150000,-nan
13.200000,0.003628,0.150000,-nan
13.250000,0.003735,0.150000,-nan
13.300000,0.004423,0.150000,-nan
13.350000,0.005519,0.150000,-nan
13.400000,0.006458,0.150000,-nan
13.450000,0.006652,0.150000,-nan
13.500000,0.005918,0.150000,-nan
13.550000,0.004783,0.150000,-nan
13.600000,0.004101,0.150000,-nan
13.650000,0.004422,0.150000,-nan
13.700000,0.005377,0.150000,-nan
13.750000,0.006289,0.150000,-nan
13.800000,0.006706,0.150000,-nan
13.850000,0.006606,0.150000,-nan
13.900000,0.006198,0.150000,-nan
13.950000,0.005593,0.150000,-nan
14.000000,0.005086,0.150000,-nan
14.050000,0.005017,0.150000,-nan
14.100000,0.005264,0.150000,-nan
14.150000,0.005446,0.150000,-nan
14.200000,0.005120,0.150000,-nan
14.250000,0.004369,0.150000,-nan
14.300000,0.003541,0.150000,-nan
14.350000,0.002985,0.150000,-nan
14.400000,0.003137,0.150000,-nan
14.450000,0.004087,0.150000,-nan
14.500000,0.005285,0.150000,-nan
14.550000,0.005903,0.150000,-nan
14.600000,0.005690,0.150000,-nan
14.650000,0.005247,0.150000,-nan
14.700000,0.005063,0.150000,-nan
14.750000,0.005007,0.150000,-nan
14.800000,0.004702,0.150000,-nan
14.850000,0.004113,0.150000,-nan
14.900000,0.003643,0.150000,-nan
14.950000,0.003646,0.150000,-nan
15.000000,0.004281,0.150000,-nan
15.050000,0.005342,0.150000,-nan
15.100000,0.006429,0.150000,-nan
15.150000,0.007197,0.150000,-nan
15.200000,0.007524,0.150000,-nan
15.250000,0.007325,0.150000,-nan
15.300000,0.006672,0.150000,-nan
15.350000,0.005750,0.150000,-nan
15.400000,0.004942,0.150000,-nan
15.450000,0.004567,0.150000,-nan
15.500000,0.004616,0.150000,-nan
15.550000,0.004708,0.150000,-nan
15.600000,0.004467,0.150000,-nan
15.650000,0.003875,0.150000,-nan
15.700000,0.003431,0.150000,-nan
15.750000,0.003618,0.150000,-nan
15.800000,0.004413,0.150000,-nan
15.850000,0.005228,0.150000,-nan
15.900000,0.005490,0.150000,-nan
15.950000,0.005311,0.150000,-nan
16.000000,0.005143,0.150000,-nan
16.050000,0.005243,0.150000,-nan
16.100000,0.005353,0.150000,-nan
16.150000,0.005295,0.150000,-nan
16.200000,0.005327,0.150000,-nan
16.250000,0.005747,0.150000,-nan
16.300000,0.006214,0.150000,-nan
16.350000,0.006266,0.150000,-nan
16.400000,0.005786,0.150000,-nan
16.450000,0.005189,0.150000,-nan
16.500000,0.004659,0.150000,-nan
16.550000,0.004154,0.150000,-nan
16.600000,0.003733,0.150000,-nan
16.650000,0.003490,0.150000,-nan
16.700000,0.003383,0.150000,-nan
16.750000,0.003350,0.150000,-nan
16.800000,0.003544,0.150000,-nan
